Name,City,Rating,Price Range,Number of Reviews,Filtered Cuisines
Martine of Martine's Table,Amsterdam,5.0,33.0,136.0,['French']
La Rive,Amsterdam,4.5,64.0,567.0,['French']
Vinkeles,Amsterdam,5.0,68.0,564.0,['French']
Zaza's,Amsterdam,4.5,37.0,1455.0,['French']
Teppanyaki Restaurant Sazanka,Amsterdam,4.5,60.0,923.0,['Japanese']
The Happy Bull,Amsterdam,4.5,33.0,295.0,['American']
Gartine,Amsterdam,4.5,34.0,967.0,['French']
Restaurant Adam,Amsterdam,4.5,65.0,368.0,['French']
Restaurant Daalder,Amsterdam,4.5,60.0,1246.0,['French']
Brasserie Ambassade,Amsterdam,4.5,60.0,958.0,['French']
Sherpa Restaurant,Amsterdam,4.5,37.0,426.0,['Indian']
La Maschera Lillotatini,Amsterdam,4.5,38.0,421.0,['Italian']
MOS Amsterdam,Amsterdam,4.5,69.0,239.0,['French']
Bord'Eau,Amsterdam,4.5,66.0,666.0,['French']
Brasserie SenT,Amsterdam,4.5,35.0,646.0,['French']
Lombardo's,Amsterdam,4.5,30.0,2052.0,['American']
Midtown Grill,Amsterdam,4.5,67.0,1181.0,['American']
Eatmosfera Ristorante,Amsterdam,4.5,31.0,973.0,['Italian']
Bussia,Amsterdam,4.5,64.0,959.0,['Italian']
Ashoka Restaurant,Amsterdam,4.5,38.0,718.0,['Indian']
Piadina Bar,Amsterdam,4.5,16.0,508.0,['Italian']
De Struisvogel,Amsterdam,4.5,33.0,517.0,['French']
Restaurant Johannes,Amsterdam,4.5,64.0,1065.0,['French']
La Zoccola del Pacioccone Pizzeria,Amsterdam,4.5,32.0,1098.0,['Italian']
Sugo Amsterdam,Amsterdam,4.5,16.0,445.0,['Italian']
Burger Bar,Amsterdam,4.5,15.0,748.0,['American']
Restaurant BREDA,Amsterdam,4.5,34.0,331.0,['French']
Taj Indian,Amsterdam,4.5,36.0,1415.0,['Indian']
Bistrot Neuf Amsterdam,Amsterdam,4.5,37.0,546.0,['French']
Bagels & Beans,Amsterdam,4.5,17.0,1294.0,['American']
Cafe Piazza,Amsterdam,4.5,35.0,681.0,['Italian']
De Belhamel,Amsterdam,4.5,68.0,1170.0,['French']
Burger Bar,Amsterdam,4.5,12.0,1379.0,['American']
Ava Cyril,Amsterdam,4.5,37.0,377.0,['Italian']
Koh-i-Noor,Amsterdam,4.5,31.0,1654.0,['Indian']
Cannibale Royale,Amsterdam,4.5,38.0,888.0,['American']
Cafe de Klos,Amsterdam,4.5,39.0,1833.0,['American']
Van Speyk,Amsterdam,4.5,30.0,1129.0,['French']
Foodhallen,Amsterdam,4.5,34.0,1480.0,"['Italian', 'French', 'American', 'Indian']"
Venus & Adonis,Amsterdam,4.5,33.0,496.0,['French']
Vegan Junk Food Bar,Amsterdam,4.5,10.0,94.0,['American']
Pasta e Basta,Amsterdam,4.5,33.0,867.0,['Italian']
Looks Restaurant,Amsterdam,4.5,30.0,563.0,['French']
Geflipt Burgers - De Pijp,Amsterdam,4.5,30.0,409.0,['American']
Ristorante Italia Oggi,Amsterdam,4.5,35.0,761.0,['Italian']
Jansz.,Amsterdam,4.5,39.0,410.0,['French']
La Perla,Amsterdam,4.5,34.0,690.0,['Italian']
Locanda,Amsterdam,5.0,33.0,93.0,['Italian']
Dwaze Zaken,Amsterdam,4.5,37.0,388.0,['French']
IL Pacioccone,Amsterdam,4.5,37.0,1307.0,['Italian']
Ristorante Savini,Amsterdam,4.5,34.0,664.0,['Italian']
Pianeta Terra,Amsterdam,4.5,35.0,250.0,['Italian']
Yamazato Restaurant,Amsterdam,4.5,60.0,1006.0,['Japanese']
Arles,Amsterdam,5.0,34.0,87.0,['French']
Casa Nostra,Amsterdam,4.5,34.0,448.0,['Italian']
Pasta Pasta,Amsterdam,4.5,13.0,1003.0,['Italian']
Hasta La Pasta,Amsterdam,4.5,12.0,385.0,['Italian']
Bistrot des Alpes,Amsterdam,5.0,32.0,136.0,['French']
Bridges,Amsterdam,4.5,64.0,961.0,['French']
La Casa De Michael,Amsterdam,4.5,32.0,230.0,['Italian']
Restaurant Bleu,Amsterdam,4.5,31.0,233.0,['French']
The White Room,Amsterdam,4.5,69.0,103.0,['French']
Pressroom,Amsterdam,4.5,33.0,175.0,['French']
Blauw aan de Wal,Amsterdam,4.5,65.0,344.0,['French']
The French Connection,Amsterdam,4.5,37.0,376.0,['French']
De Pizzabakkers Haarlemmerdijk,Amsterdam,4.5,39.0,231.0,['Italian']
Utrechtsedwarstafel,Amsterdam,5.0,69.0,220.0,['French']
Momo,Amsterdam,4.0,66.0,1359.0,['Japanese']
Cafe-Restaurant de Plantage,Amsterdam,4.0,33.0,724.0,['French']
IZAKAYA Asian Kitchen & Bar,Amsterdam,4.0,63.0,583.0,['Japanese']
Pasta Factory,Amsterdam,4.5,37.0,591.0,['Italian']
Ramen-Ya Amsterdam,Amsterdam,4.0,38.0,614.0,['Japanese']
Cocotte,Amsterdam,4.5,37.0,88.0,['French']
Pompa,Amsterdam,4.0,33.0,814.0,['Italian']
Cannibale Royale Ruysdaelkade,Amsterdam,4.5,39.0,220.0,['American']
Grizzly,Amsterdam,4.0,39.0,306.0,['American']
Saturnino,Amsterdam,4.0,31.0,601.0,['Italian']
Tulsi Indian Restaurant,Amsterdam,4.5,38.0,87.0,['Indian']
Serre Restaurant,Amsterdam,4.5,31.0,343.0,['French']
de Bijenkorf Kitchen Amsterdam,Amsterdam,4.0,32.0,357.0,['Italian']
Elkaar,Amsterdam,4.5,34.0,175.0,['French']
Bulls and Dogs,Amsterdam,4.5,16.0,191.0,['American']
Trattoria Caprese Amsterdam,Amsterdam,4.0,34.0,749.0,['Italian']
Casa di David,Amsterdam,4.0,34.0,1046.0,['Italian']
Nooch,Amsterdam,4.0,31.0,402.0,['Japanese']
Humphrey's Spuistraat,Amsterdam,4.0,32.0,505.0,['French']
EN Japanese kitchen & sake bar,Amsterdam,4.5,32.0,131.0,['Japanese']
Shah-jahan,Amsterdam,4.5,33.0,208.0,['Indian']
Restaurant Sinne,Amsterdam,4.5,68.0,194.0,['French']
Salmuera,Amsterdam,4.5,39.0,204.0,['Mexican']
Pizzeria Fuoco Vivo,Amsterdam,4.5,32.0,391.0,['Italian']
Auberge Jean & Marie,Amsterdam,4.5,38.0,99.0,['French']
The Butcher,Amsterdam,4.0,34.0,650.0,['American']
Ristorante Due Napoletani,Amsterdam,4.5,35.0,202.0,['Italian']
Jaspers,Amsterdam,5.0,67.0,126.0,['French']
5&33,Amsterdam,4.0,34.0,399.0,['Italian']
Restaurant 't Zwaantje,Amsterdam,4.0,31.0,471.0,['French']
Ron Gastrobar,Amsterdam,4.0,68.0,796.0,['French']
Hard Rock Cafe Amsterdam,Amsterdam,4.0,31.0,6777.0,['American']
Hotel de Goudfazant,Amsterdam,4.5,37.0,389.0,['French']
Burger Bar,Amsterdam,4.5,16.0,323.0,['American']
Taiko,Amsterdam,4.5,60.0,274.0,['Japanese']
SUMO Sushi & Grill Restaurant,Amsterdam,4.0,34.0,976.0,['Japanese']
Burgermeester,Amsterdam,4.0,11.0,523.0,['American']
Willems,Amsterdam,4.5,34.0,151.0,['French']
ROYAL98,Amsterdam,4.5,36.0,241.0,['Italian']
Ichi-E,Amsterdam,4.0,38.0,349.0,['Japanese']
El Vino,Amsterdam,4.0,32.0,496.0,['Mexican']
Pompstation,Amsterdam,4.0,38.0,304.0,['French']
Wagamama,Amsterdam,4.0,31.0,820.0,['Japanese']
Il Primo Ristorante,Amsterdam,4.0,35.0,598.0,['Italian']
Mount Everest Tandoori,Amsterdam,5.0,34.0,39.0,['Indian']
Vasso,Amsterdam,4.5,31.0,305.0,['Italian']
Verona Ristorante Italiano,Amsterdam,4.5,19.0,137.0,['Italian']
Burgerlijk Amsterdams,Amsterdam,4.5,18.0,265.0,['American']
Tomo Sushi,Amsterdam,4.5,33.0,203.0,['Japanese']
Campo Di Fiori,Amsterdam,4.0,32.0,339.0,['Italian']
Ter Marsch & Co - Amsterdam,Amsterdam,4.5,35.0,218.0,['American']
Mappa,Amsterdam,4.0,31.0,242.0,['Italian']
Frenzi,Amsterdam,4.0,30.0,330.0,['Italian']
Bar-B Burgers 'N' Beer Bar,Amsterdam,4.0,34.0,344.0,['American']
Indian Sky,Amsterdam,4.5,36.0,294.0,['Indian']
Brasserie van Baerle,Amsterdam,4.5,36.0,263.0,['French']
Market 33,Amsterdam,4.5,32.0,70.0,"['Italian', 'Japanese']"
La Festa,Amsterdam,4.5,38.0,243.0,['Italian']
Incanto,Amsterdam,4.5,60.0,422.0,['Italian']
Harlem Soul Food,Amsterdam,4.5,33.0,244.0,['American']
Pind Punjabi Indian Restaurant,Amsterdam,4.5,34.0,138.0,['Indian']
Il Sogno Amsterdam,Amsterdam,4.5,13.0,174.0,['Italian']
Los Pilones Cantina Mexico,Amsterdam,4.0,31.0,400.0,['Mexican']
Restaurant Miu,Amsterdam,4.0,39.0,390.0,['Japanese']
Chiapas Taco-Cartel,Amsterdam,4.5,17.0,118.0,['Mexican']
Pendergast Smokehouse,Amsterdam,4.5,34.0,67.0,['American']
Rijsel,Amsterdam,4.5,39.0,204.0,['French']
THE DUCHESS,Amsterdam,4.0,62.0,482.0,['French']
Memories of India,Amsterdam,4.5,35.0,525.0,['Indian']
Pazzi,Amsterdam,4.5,33.0,86.0,['Italian']
Brouwerij Troost Westergas,Amsterdam,4.5,32.0,124.0,['American']
Le Pain Quotidien - Oud Zuid,Amsterdam,4.5,32.0,197.0,['French']
Burgerfabriek,Amsterdam,4.0,35.0,455.0,['American']
Japanse Restaurant Genki,Amsterdam,4.5,34.0,278.0,['Japanese']
A-Fusion,Amsterdam,4.0,35.0,222.0,['Japanese']
Burger Zaken,Amsterdam,4.0,19.0,623.0,['American']
Restaurant Lastage,Amsterdam,4.5,62.0,301.0,['French']
Mas Y Mas,Amsterdam,4.0,39.0,595.0,['Italian']
Getto,Amsterdam,4.5,31.0,253.0,['American']
Cafe George,Amsterdam,4.0,30.0,342.0,"['Italian', 'French']"
L'Entrecote et les Dames,Amsterdam,4.0,31.0,237.0,['French']
Labyrinth,Amsterdam,5.0,35.0,35.0,['American']
Wyers Bar & Restaurant,Amsterdam,4.5,35.0,80.0,['American']
Ku Kitchen Bar,Amsterdam,4.5,32.0,110.0,['Japanese']
L'angolo Italiano,Amsterdam,4.5,38.0,198.0,['Italian']
Le Restaurant Amsterdam,Amsterdam,4.5,64.0,114.0,['French']
Fou Fow Ramen,Amsterdam,4.0,37.0,224.0,['Japanese']
Geisha Restaurant & Lounge,Amsterdam,4.5,35.0,312.0,['Japanese']
De Pizzabakkers Plantage,Amsterdam,4.5,38.0,139.0,['Italian']
Koh-i-Noor,Amsterdam,4.0,39.0,420.0,['Indian']
Conservatorium Brasserie & Lounge Amsterdam,Amsterdam,4.0,64.0,479.0,['French']
De Ysbreeker,Amsterdam,4.0,36.0,343.0,['French']
Pane E Olio,Amsterdam,4.5,19.0,102.0,['Italian']
Restaurant Piccolo Mondo Amsterdam,Amsterdam,4.0,32.0,261.0,['Italian']
mayur,Amsterdam,4.5,36.0,401.0,['Indian']
Roberto's,Amsterdam,4.5,65.0,348.0,['Italian']
The Uptown Meat Club,Amsterdam,4.0,39.0,331.0,['American']
Restaurant Lucca,Amsterdam,4.5,30.0,102.0,['Italian']
Spaghetteria West,Amsterdam,4.5,33.0,211.0,['Italian']
Pasta Bar,Amsterdam,4.0,16.0,481.0,['Italian']
Caffe Italia,Amsterdam,4.0,37.0,239.0,['Italian']
Mastino Pizza,Amsterdam,4.5,13.0,84.0,['Italian']
Pastini,Amsterdam,4.5,33.0,204.0,['Italian']
Chez Lorraine,Amsterdam,5.0,33.0,46.0,['French']
Thrill Grill,Amsterdam,4.0,39.0,260.0,['American']
Fashion’s Restaurant & Bar,Amsterdam,4.5,36.0,128.0,['French']
Braai Westerpark,Amsterdam,4.5,18.0,70.0,['American']
Van Vlaanderen,Amsterdam,4.5,63.0,168.0,['French']
Ganesha,Amsterdam,4.5,36.0,390.0,['Indian']
Bordewijk,Amsterdam,4.5,62.0,199.0,['French']
Shiva Indian Restaurant,Amsterdam,4.0,31.0,379.0,['Indian']
Tasty Burger,Amsterdam,4.5,31.0,51.0,['American']
Cannibale Royale Lange Niezel,Amsterdam,4.5,33.0,145.0,['American']
Restaurant Gusto,Amsterdam,4.0,36.0,312.0,['Italian']
Mangia Pizza,Amsterdam,4.5,30.0,184.0,['Italian']
De Japanner,Amsterdam,4.5,33.0,74.0,['Japanese']
Fiko,Amsterdam,4.5,37.0,59.0,['Italian']
Ellis Gourmet Burger Prinsengracht BV,Amsterdam,4.0,37.0,377.0,['American']
Salsa Shop,Amsterdam,4.5,18.0,189.0,['Mexican']
De Italiaan,Amsterdam,4.0,39.0,259.0,['Italian']
The Waterhole Tap & Dine,Amsterdam,4.5,32.0,102.0,['American']
Sorel's Bar and Lounge,Amsterdam,4.5,31.0,107.0,['American']
Risto Enoteca PepeNero,Amsterdam,4.5,37.0,50.0,['Italian']
Geflipt Burgers,Amsterdam,4.5,35.0,62.0,['American']
Burgerfabriek,Amsterdam,4.0,15.0,240.0,['American']
Chez Georges,Amsterdam,4.5,36.0,149.0,['French']
"Pancakes Amsterdam, Prins Hendrikkade",Amsterdam,4.0,39.0,228.0,['American']
Sardegna,Amsterdam,4.0,37.0,332.0,['Italian']
Mo-Jo Japanese Kitchen,Amsterdam,4.0,31.0,337.0,['Japanese']
Thijs by Dikker &Thijs,Amsterdam,4.5,31.0,180.0,['French']
Seafood restaurant Brasserie Bark,Amsterdam,4.0,34.0,259.0,['French']
Restaurant Hulscher's,Amsterdam,4.5,33.0,109.0,['French']
Prego Restaurant,Amsterdam,4.0,31.0,263.0,['French']
Restaurant Bonjour,Amsterdam,4.5,32.0,192.0,['French']
Ciro Passami L'Olio,Amsterdam,4.5,31.0,167.0,['Italian']
Dragon I,Amsterdam,4.5,38.0,99.0,['Japanese']
Saravanaa Bhavan,Amsterdam,4.0,33.0,217.0,['Indian']
Sapporo Teppanyaki & Sushi Restaurant,Amsterdam,4.5,37.0,120.0,['Japanese']
Brasserie FLO Amsterdam,Amsterdam,4.0,38.0,439.0,['French']
Amstel Brasserie at InterContinental Amstel Amsterdam,Amsterdam,4.5,64.0,163.0,['French']
Vapiano,Amsterdam,4.0,12.0,571.0,['Italian']
Donna Sofia,Amsterdam,4.0,36.0,181.0,['Italian']
Al Bacaro,Amsterdam,4.5,36.0,285.0,['Italian']
The Bulldog,Amsterdam,4.0,31.0,471.0,['American']
Kamasutra,Amsterdam,4.0,36.0,263.0,['Indian']
Los Feliz,Amsterdam,4.5,31.0,62.0,['Mexican']
Restaurant Pizzeria Lucca Due,Amsterdam,4.0,38.0,118.0,['Italian']
Brut de Mer,Amsterdam,4.5,33.0,141.0,['French']
Smokin' Barrels,Amsterdam,4.0,33.0,116.0,['American']
Nude burger club,Amsterdam,4.5,17.0,61.0,['American']
Alfonso's Mexican & Grill Restaurant,Amsterdam,4.0,30.0,258.0,['Mexican']
Eastwood Amsterdam,Amsterdam,4.0,32.0,171.0,['American']
"Lotti’s Cafe, Bar & Grill",Amsterdam,4.0,33.0,94.0,['American']
Cafe Chantilly,Amsterdam,5.0,15.0,42.0,['French']
Carnivore Bar-Smoke BBQ,Amsterdam,5.0,39.0,54.0,['American']
Piccolo,Amsterdam,5.0,38.0,38.0,['Italian']
Pizza Taxi Da Paolo & Seba,Amsterdam,4.5,34.0,67.0,['Italian']
Diverto,Amsterdam,4.5,31.0,179.0,['Italian']
Pastis,Amsterdam,4.5,32.0,85.0,['French']
De Struisvogel Bistro,Amsterdam,4.5,30.0,34.0,['French']
Palladio Restaurant,Amsterdam,4.0,37.0,195.0,['Italian']
da portare VIA Lange Niezel,Amsterdam,4.5,18.0,134.0,['Italian']
Trattoria Fantasia,Amsterdam,4.0,30.0,270.0,['Italian']
Stek Amsterdam,Amsterdam,4.5,38.0,73.0,['French']
"DenC, Dik en Cunningham",Amsterdam,4.5,36.0,116.0,['French']
De Pizzabakkers Overtoom,Amsterdam,4.5,39.0,115.0,['Italian']
Wagamama Max Euweplein,Amsterdam,3.5,35.0,327.0,['Japanese']
Beulings,Amsterdam,4.5,63.0,145.0,['French']
Ponte Vecchio,Amsterdam,4.0,30.0,246.0,['Italian']
Winebar Boelen & Boelen,Amsterdam,4.5,35.0,92.0,['French']
Da Giorgio,Amsterdam,4.0,34.0,350.0,['Italian']
Onigiri YA!,Amsterdam,5.0,15.0,38.0,['Japanese']
Breitner,Amsterdam,4.5,65.0,115.0,['French']
Anmol Indian Restaurant,Amsterdam,4.5,35.0,198.0,['Indian']
La Falote,Amsterdam,4.0,31.0,229.0,['French']
Barasti,Amsterdam,5.0,30.0,26.0,['French']
Reuring,Amsterdam,4.5,31.0,86.0,['French']
Restaurant Classico,Amsterdam,4.0,39.0,207.0,['Italian']
Casa Di Sergio,Amsterdam,4.0,34.0,293.0,['Italian']
Toscanini,Amsterdam,4.0,30.0,434.0,['Italian']
Dikke Graaf,Amsterdam,4.5,36.0,99.0,"['Italian', 'French']"
"Cut Throat - Barber, Brunch & Bar",Amsterdam,4.5,34.0,119.0,['American']
Gandhi,Amsterdam,4.0,37.0,409.0,['Indian']
De Compagnon,Amsterdam,4.5,65.0,222.0,['French']
Grand Cafe Krasnapolsky,Amsterdam,4.0,34.0,163.0,['French']
PEEJAYS doughnuts,Amsterdam,5.0,16.0,23.0,['American']
Marius,Amsterdam,4.5,39.0,92.0,['French']
Balraj,Amsterdam,4.0,35.0,141.0,['Indian']
Thrill Grill,Amsterdam,4.0,31.0,78.0,['American']
Spuistraat 122 Italian Restaurant,Amsterdam,4.5,38.0,117.0,['Italian']
Spaghetteria Pasta Bar,Amsterdam,4.5,16.0,50.0,['Italian']
Ciao Bella Amsterdam,Amsterdam,4.5,13.0,74.0,['Italian']
Ponte Arcari,Amsterdam,4.0,37.0,294.0,['Italian']
Rangoli Restaurant,Amsterdam,4.0,39.0,184.0,['Indian']
Cafe-Restaurant IL Panorama,Amsterdam,4.0,35.0,345.0,['Italian']
Restaurant Faam,Amsterdam,5.0,34.0,39.0,['Italian']
Bollywood Indian Restaurant,Amsterdam,4.5,35.0,215.0,['Indian']
foodcrib,Amsterdam,4.0,11.0,129.0,['American']
Staring at Jacob x Ku West,Amsterdam,4.0,33.0,146.0,"['American', 'Japanese']"
Bistro Bos,Amsterdam,4.5,32.0,54.0,['Italian']
Stach Cafe,Amsterdam,4.5,34.0,47.0,['American']
Restaurant O Sole Mio,Amsterdam,4.0,11.0,190.0,['Italian']
The Fat Dog,Amsterdam,4.0,19.0,159.0,['American']
Bella Storia,Amsterdam,4.5,35.0,114.0,['Italian']
Bar Moustache,Amsterdam,4.0,36.0,214.0,['Italian']
Trattoria Toto,Amsterdam,4.0,30.0,186.0,['Italian']
Burgermeester,Amsterdam,4.5,15.0,44.0,['American']
Hosokawa,Amsterdam,4.0,65.0,151.0,['Japanese']
Antonio's Ristorante Italiano,Amsterdam,4.0,30.0,396.0,['Italian']
Cantinetta Wine & Pasta,Amsterdam,4.5,35.0,154.0,['Italian']
Pekelhaaring,Amsterdam,4.0,30.0,138.0,['Italian']
da portare VIA Leliegracht,Amsterdam,4.5,12.0,153.0,['Italian']
Le Due Sicilie Ristorante Pastificio Italiano,Amsterdam,4.5,33.0,38.0,['Italian']
Tandoor Special Indian Restaurant,Amsterdam,4.0,38.0,151.0,['Indian']
Welcome to Italy- Pasta & Pizza,Amsterdam,4.5,37.0,38.0,['Italian']
The Frits,Amsterdam,4.5,36.0,69.0,['American']
Surya,Amsterdam,4.5,39.0,131.0,['Indian']
Hoogendam,Amsterdam,4.0,38.0,103.0,['French']
De Pizzakamer,Amsterdam,4.5,33.0,87.0,['Italian']
meneer Van Loon,Amsterdam,5.0,14.0,19.0,"['French', 'Italian']"
SOTTO - pizza legale,Amsterdam,4.0,31.0,134.0,['Italian']
Restaurant DREAM,Amsterdam,4.5,31.0,215.0,['Japanese']
Water en Brood,Amsterdam,5.0,30.0,33.0,['American']
il palio,Amsterdam,4.0,15.0,258.0,['Italian']
Renzo's,Amsterdam,4.0,10.0,106.0,['Italian']
Japan Inn Yakitori,Amsterdam,4.5,34.0,93.0,['Japanese']
Purna Indian Restaurant,Amsterdam,4.5,34.0,144.0,['Indian']
Hakata Senpachi,Amsterdam,4.5,33.0,90.0,['Japanese']
"Bodon, La Grande Brasserie",Amsterdam,5.0,65.0,17.0,['French']
Taqueria Tacobar,Amsterdam,4.5,30.0,48.0,['Mexican']
Cha House,Amsterdam,4.5,34.0,29.0,['Japanese']
Japans Restaurant Otaru,Amsterdam,4.0,38.0,85.0,['Japanese']
Sapporo RAMEN SORA,Amsterdam,4.5,39.0,41.0,['Japanese']
Sale e Pepe,Amsterdam,4.5,32.0,36.0,['Italian']
Meghna,Amsterdam,4.0,33.0,97.0,['Indian']
Restaurant La vallade,Amsterdam,4.5,31.0,82.0,['French']
The Big Apple,Amsterdam,4.0,35.0,63.0,['American']
michiu,Amsterdam,4.5,38.0,64.0,['Japanese']
Burger Zaken - Oudezijds Voorburgwal,Amsterdam,4.0,13.0,83.0,['American']
Rotisserie Amsterdam,Amsterdam,4.0,33.0,84.0,['American']
Hennequin & To,Amsterdam,5.0,38.0,36.0,['French']
Poke Perfect,Amsterdam,4.0,37.0,59.0,['Japanese']
Lalotta Pizzabar,Amsterdam,4.5,35.0,40.0,['Italian']
New York Pizza,Amsterdam,4.0,16.0,253.0,['Italian']
Royal Tandoori,Amsterdam,4.0,36.0,115.0,['Indian']
Puccini Espressobar,Amsterdam,4.5,39.0,30.0,['Italian']
Pazzi Italian Slow Food,Amsterdam,4.5,36.0,111.0,['Italian']
Caldi e freddi,Amsterdam,4.5,10.0,55.0,['Italian']
Restaurant Enoteca Amsterdam,Amsterdam,4.0,38.0,163.0,['Italian']
Brasserie NH Schiller,Amsterdam,4.0,36.0,126.0,['French']
Monte Verde,Amsterdam,4.0,31.0,67.0,['Italian']
Rib's factory,Amsterdam,4.0,35.0,74.0,['American']
La Storia della Vita,Amsterdam,4.0,38.0,145.0,['Italian']
Sumo Amsterdam 3 - Nieuwezijds Voorburgwal,Amsterdam,4.0,33.0,166.0,['Japanese']
Senor Mostachio,Amsterdam,4.5,37.0,92.0,['Mexican']
Sapore Italiano,Amsterdam,4.0,34.0,95.0,['Italian']
Burgerfabriek Express,Amsterdam,4.0,35.0,82.0,['American']
THE ROAST ROOM,Amsterdam,3.5,30.0,369.0,['American']
Eetcafe Koevoet,Amsterdam,4.0,39.0,131.0,['Italian']
Cafe De Koe,Amsterdam,4.5,37.0,76.0,['French']
Eat Mode,Amsterdam,4.0,37.0,149.0,['Japanese']
Dappertutto,Amsterdam,4.5,38.0,47.0,['Italian']
Moti Mahal,Amsterdam,4.0,36.0,320.0,['Indian']
Caffe Italia 34,Amsterdam,4.0,33.0,110.0,['Italian']
Restaurant Di Bruno,Amsterdam,4.5,33.0,79.0,['Italian']
Akitsu,Amsterdam,4.5,38.0,111.0,['Japanese']
India Roti Room,Amsterdam,4.5,38.0,33.0,['Indian']
Impero Romano,Amsterdam,4.0,34.0,41.0,['Italian']
The Mexican,Amsterdam,3.5,31.0,463.0,['Mexican']
The Breakfast Club,Amsterdam,4.0,37.0,80.0,['American']
Knus,Amsterdam,5.0,32.0,21.0,['French']
da portare VIA Frans Halsstraat,Amsterdam,4.0,11.0,146.0,['Italian']
Nassau,Amsterdam,4.5,31.0,61.0,['Italian']
SmaaQt Bv,Amsterdam,4.0,39.0,72.0,['French']
Palorma,Amsterdam,4.0,34.0,72.0,['Italian']
Ron Gastrobar Paris,Amsterdam,4.0,35.0,125.0,['French']
Floor17,Amsterdam,4.0,36.0,381.0,['French']
Green Grill & BBQ,Amsterdam,4.0,38.0,173.0,['Mexican']
Sushisamba,Amsterdam,4.0,67.0,99.0,['Japanese']
Le Debut,Amsterdam,4.5,33.0,29.0,['French']
Balti House,Amsterdam,4.0,31.0,137.0,['Indian']
Le Hollandais,Amsterdam,4.5,31.0,46.0,['French']
Sumo Amsterdam 2 - Vijzelstraat,Amsterdam,4.0,35.0,127.0,['Japanese']
Burgermeester,Amsterdam,4.0,31.0,121.0,['American']
VattenRamen,Amsterdam,4.5,14.0,31.0,['Japanese']
Remise47,Amsterdam,4.0,33.0,101.0,['French']
Porto Carrara,Amsterdam,4.5,13.0,49.0,['Italian']
De Pizzabakkers De Pijp,Amsterdam,4.0,31.0,65.0,['Italian']
Mama Dough,Amsterdam,4.5,30.0,34.0,['Italian']
Happy Italy,Amsterdam,4.0,12.0,79.0,['Italian']
Ribsfactory Amsterdam,Amsterdam,4.5,31.0,35.0,['American']
Restaurant Merkelbach,Amsterdam,4.0,65.0,81.0,['French']
Burger 'n Shake,Amsterdam,4.0,16.0,53.0,['American']
Sushilee,Amsterdam,5.0,35.0,25.0,['Japanese']
Cafe Caron,Amsterdam,4.5,33.0,19.0,['French']
Satellite Sports Cafe,Amsterdam,3.5,17.0,955.0,['American']
Mr. Haz,Amsterdam,4.5,33.0,28.0,['Mexican']
Trattoria That's Amore,Amsterdam,4.0,34.0,167.0,['Italian']
Three Sisters Pub Amsterdam,Amsterdam,3.5,35.0,425.0,['American']
Lokaal de Pijp,Amsterdam,4.5,37.0,42.0,"['Italian', 'French']"
Assaggi,Amsterdam,4.0,33.0,303.0,['Italian']
Ristorante Italiano Peppino,Amsterdam,3.5,39.0,383.0,['Italian']
Het Bosch Waterfront,Amsterdam,4.0,68.0,140.0,['French']
Da Magda,Amsterdam,5.0,19.0,33.0,['Italian']
Gallizia,Amsterdam,4.5,30.0,39.0,['Italian']
Marmaris Grill & Pizza,Amsterdam,3.5,34.0,309.0,['Italian']
Burger House,Amsterdam,4.0,14.0,97.0,['American']
Soul Burger,Amsterdam,4.5,32.0,61.0,['American']
The Dylan,Amsterdam,4.5,62.0,100.0,['French']
Libero,Amsterdam,4.5,35.0,92.0,['Italian']
De Biergrill,Amsterdam,4.5,34.0,61.0,['American']
Restaurant Quartier Latin,Amsterdam,4.0,37.0,71.0,['French']
Anne Maike of Casa Curiosa,Amsterdam,5.0,31.0,17.0,"['Italian', 'Mexican']"
Caramba,Amsterdam,4.0,33.0,95.0,['Mexican']
Ristorante Pizzeria Le 4 Stagioni,Amsterdam,3.5,33.0,293.0,['Italian']
Indian Tandoori Bites,Amsterdam,4.0,38.0,110.0,['Indian']
Frenzi Cucina,Amsterdam,4.5,39.0,70.0,['Italian']
Duble,Amsterdam,4.5,30.0,21.0,['Italian']
Burger's Patio,Amsterdam,4.5,39.0,130.0,"['Italian', 'French']"
Zushi,Amsterdam,4.0,38.0,164.0,['Japanese']
Mastino V,Amsterdam,4.5,30.0,16.0,['Italian']
Grand Cafe Lokaal,Amsterdam,4.0,35.0,108.0,['American']
il Cavallino,Amsterdam,4.5,32.0,41.0,['Italian']
Tokyo Ramen,Amsterdam,4.5,36.0,24.0,['Japanese']
Fijnkost,Amsterdam,4.5,36.0,38.0,['French']
Hostaria,Amsterdam,4.0,30.0,150.0,['Italian']
Gero Ristorante Italiano,Amsterdam,4.5,39.0,37.0,['Italian']
World Of Food Amsterdam,Amsterdam,4.0,13.0,95.0,['Indian']
Joya,Amsterdam,4.0,38.0,71.0,['Japanese']
Bar Huf,Amsterdam,4.5,34.0,70.0,['American']
Restaurant Monteverde,Amsterdam,4.0,38.0,106.0,['Italian']
Il Centro,Amsterdam,4.5,35.0,44.0,['Italian']
Made with Love,Amsterdam,4.5,32.0,106.0,['Indian']
Restaurant Rimini,Amsterdam,4.5,19.0,31.0,['Italian']
Primi bar & cucina,Amsterdam,5.0,30.0,23.0,['Italian']
Bulls & Dogs,Amsterdam,4.5,11.0,28.0,['American']
